team_code,team_country,team_founded,id,logo_url,name,team_national,venue_address,venue_capacity,venue_city,venue_id,venue_image,venue_name,venue_surface
,Norway,1939,7049,https://media.api-sports.io/football/teams/7049.png,Åkra,False,Idrettsvegen 11,2500,Åkrehamn,5158,https://media.api-sports.io/football/venues/5158.png,Åkra kunstgress,artificial turf
ALG,Norway,1915,7050,https://media.api-sports.io/football/teams/7050.png,Ålgård,False,Åfaret 31,3000,Ålgård,5159,https://media.api-sports.io/football/venues/5159.png,Nye Ålgård Stadion,artificial turf
,Norway,,7051,https://media.api-sports.io/football/teams/7051.png,Åssiden IF,False,Buskerudveien 54,1000,Drammen,5160,https://media.api-sports.io/football/venues/5160.png,Åssiden Stadion,grass
,Norway,1904,7052,https://media.api-sports.io/football/teams/7052.png,Ørn Horten,False,Oregaten 1,4000,Horten,5161,https://media.api-sports.io/football/venues/5161.png,Lystlunden Stadion,artificial turf
,Norway,,7935,https://media.api-sports.io/football/teams/7935.png,Sogndal U19,False,,,,,,,
,Norway,,7962,https://media.api-sports.io/football/teams/7962.png,Molde U19,False,,,,,,,
NOR,Norway,1902,8214,https://media.api-sports.io/football/teams/8214.png,Norway U21,True,Sognsveien 75,27182,Oslo,11603,https://media.api-sports.io/football/venues/11603.png,Ullevaal Stadion,grass
GRE,Norway,1894,9975,https://media.api-sports.io/football/teams/9975.png,Odd II,False,"Fridtjof Nansensgatan 21-23, Falkum",13500,Skien,1187,https://media.api-sports.io/football/venues/1187.png,Skagerak Arena,artificial turf
,Norway,2020,9976,https://media.api-sports.io/football/teams/9976.png,Øygarden,False,,2000,Ågotnes,1185,https://media.api-sports.io/football/venues/1185.png,Ågotnes Stadion,grass
ROS,Norway,1917,10113,https://media.api-sports.io/football/teams/10113.png,Rosenborg II,False,Klæbuveien 125,1000,Trondheim,11977,https://media.api-sports.io/football/venues/11977.png,Skoglunden,grass
VAL,Norway,1913,10114,https://media.api-sports.io/football/teams/10114.png,Vålerenga II,False,Innspurten 1,18000,Oslo,1203,https://media.api-sports.io/football/venues/1203.png,Intility Arena,artificial turf
,Norway,,10296,https://media.api-sports.io/football/teams/10296.png,Norway U20,True,,,,,,,
SWE,Norway,1902,10342,https://media.api-sports.io/football/teams/10342.png,Norway U19,True,Sognsveien 75,27182,Oslo,11603,https://media.api-sports.io/football/venues/11603.png,Ullevaal Stadion,grass
